Paris, Le Comptoir de la Gastronomie,4.5,(1.3k review),Français,€€,Châtelet/Les Halles 
Paris, Bistro des Augustins,4.4,(486 reviews),BistrotBars à vins,€€,Saint-Michel/Odéon 
Paris, L’Avant Comptoir,4.4,(657 reviews),Bars à tapasBars à vins,€€,Saint-Michel/Odéon 
Paris, Gemini,4.3,(42 reviews),Italien,€€,Châtelet/Les Halles 
Paris, Le P’tit Bistro,4.7,(21 reviews),BrasseriesBars,€€,Châtelet/Les Halles 
Paris, Baguett’s Café,4.5,(240 reviews),CafésPetit déjeuner & brunch,€€,Palais Royal/Musée du Louvre 
Paris, La Fontaine de Mars,4.4,(342 reviews),Français,€€€,Tour Eiffel/Champ de Mars 
Paris, Café de Paris,3.9,(77 reviews),Brasseries,€€,Palais Royal/Musée du Louvre 
Paris, La French Guinguette,4.6,(18 reviews),Bars à CocktailsFrançais,€€,Beaubourg 
Paris, La Régalade,4.4,(103 reviews),Français,€€€,Châtelet/Les Halles 
Paris, Gambino,4.4,(243 reviews),Italien,€€,Place Vendôme 
Paris, Le Bistro du Périgord,4.5,(377 reviews),Bistrot,€€€,Saint-Michel/Odéon 
Paris, L’As du Fallafel,4.3,(2k review),KasherSandwichsFalafel,€€,Marais 
Paris, La Jacobine,4.5,(349 reviews),Salons de théFrançais,€€€,Saint-Michel/Odéon 
Paris, Victoires,4.0,(262 reviews),Français,€€,Bourse 
Paris, Angelina,4.0,(1.6k review),Petit déjeuner & brunchSalons de théPâtisseries,€€€,Place Vendôme 
Paris, Le Pas Sage,4.3,(47 reviews),Français,€€€,Etienne Marcel/Montorgueil 
Paris, Bistrot Richelieu,4.1,(217 reviews),FrançaisPetit déjeuner & brunch,€€,Palais Royal/Musée du Louvre 
Paris, Café Louise,4.3,(68 reviews),Salons de théBrasseries,€€,Palais Royal/Musée du Louvre 
Paris, Les Antiquaires,4.4,(470 reviews),Bistrot,€€€,Musée d'Orsay 
Paris, Le Bistrot des Campagnes,4.6,(135 reviews),Bistrot,€€,Montparnasse 
Paris, Tradi,5.0,(15 reviews),Bistrot,€€€,2ème 
Paris, Les Artizans,4.7,(28 reviews),PâtisseriesBistrot,€€,Châtelet/Les Halles 
Paris, Le Relais du Louvre,4.2,(17 reviews),Français,€€,Palais Royal/Musée du Louvre 
Paris, Grenouilles,4.8,(54 reviews),SandwichsÉpiceries fines,€,Montmartre 
Paris, Le Café,4.3,(66 reviews),Cafés,€€,Etienne Marcel/Montorgueil 
Paris, Chez Fernand,4.3,(232 reviews),Français,€€€,Saint-Michel/Odéon 
Paris, Sanukiya,4.5,(386 reviews),Japonais,€€,Palais Royal/Musée du Louvre 
Paris, Ma Salle à Manger,4.1,(62 reviews),Cuisine du sud-ouest,€€,1er 
Paris, Carpe Diem Café,4.2,(166 reviews),FrançaisBars LoungeBars à Cocktails,€€,Châtelet/Les Halles 
Paris, Ma Salle à Manger,4.1,(62 reviews),Cuisine du sud-ouest,€€,1er 
Paris, Carpe Diem Café,4.2,(166 reviews),FrançaisBars LoungeBars à Cocktails,€€,Châtelet/Les Halles 
Paris, Le Bistrot des Vosges,4.3,(77 reviews),Bistrot,€€,Bastille 
Paris, Happy Caffé,4.9,(123 reviews),CrêperiesSandwichs,€,Place Vendôme 
Paris, Le Café Laurent,4.8,(18 reviews),BarsJazz & BluesCafés,€€€,Saint-Michel/Odéon 
Paris, Le Café Laurent,4.8,(18 reviews),BarsJazz & BluesCafés,€€€,Saint-Michel/Odéon 
Paris, IMA,4.5,(15 reviews),Méditerranéen,€€,République 
Paris, La Consigne,4.3,(8 reviews),Brasseries,€€,Bercy 
Paris, Poulette,4.3,(69 reviews),Français,€€€,Etienne Marcel/Montorgueil 
Paris, Le Petit Opportun,4.8,(4 reviews),Français,€€,Châtelet/Les Halles 
Paris, La Coïncidence,4.6,(509 reviews),Français,€€,Trocadéro/Iéna 
Paris, Boulettes,4.5,(51 reviews),Français,€€,Etienne Marcel/Montorgueil 
Paris, Crêperie Saint Eustache,4.4,(52 reviews),Crêperies,€€,Châtelet/Les Halles 
Paris, Le Jardin du Petit Palais,3.9,(27 reviews),Cafés et thésCuisine européenne moderne,€€,Avenue Montaigne/Faubourg St-Honoré 
Paris, Le Boui Boui,4.4,(62 reviews),Français,€€,Etienne Marcel/Montorgueil 
Paris, Janine loves Sunday,4.5,(59 reviews),BrasseriesVégétalien,€€,Etienne Marcel/Montorgueil 
Paris, L’Alsacien,4.7,(67 reviews),Bars à bièresBars à vinsAlsacien,€€,Beaubourg 
Paris, L’îlot,4.5,(66 reviews),Fruits de mer,€€,Marais Nord 
Paris, Frenchie,4.4,(244 reviews),FrançaisCuisine européenne moderne,€€€€,Grands Boulevards/Sentier 
Paris, L’Entente,4.5,(27 reviews),BritanniqueCuisine européenne moderne,€€,Opéra 
Paris, La Poule au Pot,4.2,(117 reviews),Français,€€€,Châtelet/Les Halles 
Paris, Bistrot Vivienne,3.8,(70 reviews),Bistrot,€€€,Bourse 
Paris, Ippudo Louvre,4.1,(75 reviews),Ramen,€€,Châtelet/Les Halles 
Paris, Le Roi de Pique,4.4,(19 reviews),BrasseriesBistrot,€€,3ème 
Paris, Pain Vin Fromages,4.4,(265 reviews),Fondue et raclette,€€,Beaubourg 
Paris, La Tour de Montlhéry ou chez Denise,3.9,(116 reviews),Français,€€€,Châtelet/Les Halles 
Paris, Le Bougnat,4.3,(8 reviews),Français,€€,Marais Nord 
Paris, L’Estrapade,4.8,(47 reviews),Français,€€€,Sorbonne/Panthéon 
Paris, Le Machon,4.8,(4 reviews),Restaurants,€€,Marais Nord 
Paris, Le Coq & Fils - The Poultry House,4.4,(112 reviews),Rôtisserie,€€€€,Montmartre 
Paris, Le Bistro Lyonnais,4.4,(24 reviews),Français,€€,Bercy 
Paris, Comme chez Maman,4.3,(40 reviews),Bistrot,€€€,Batignolles 
Paris, Le Vaudésir,4.8,(25 reviews),Bistrot,€,Denfert-Rochereau 
Paris, La Fresque,3.9,(81 reviews),Français,€€,Châtelet/Les Halles 
Paris, 万食如意 Fresh Noodles,4.4,(64 reviews),ChinoisCuisines asiatiques,€€,Châtelet/Les Halles 
Paris, La Réserve de Quasimodo,4.3,(15 reviews),Bars à vinsBistrot,€€,Île de la Cité/Île Saint Louis 
Paris, Le Black Dog,4.2,(115 reviews),BarsArgentin,€€,Beaubourg 
Paris, Joséphine chez Dumonet,4.1,(136 reviews),Bistrot,€€€,Montparnasse 
Paris, Le Relais de l’Entrecôte,4.0,(563 reviews),Viandes,€€€,Champs-Elysées 
Paris, Le Comptoir,4.4,(125 reviews),BistrotCafés,€€,Denfert-Rochereau 
Paris, Pedzouille,4.7,(25 reviews),BistrotViandes,€€,Strasbourg-St Denis/Bonne Nouvelle 
Paris, Chez Janou,4.1,(593 reviews),BistrotProvençal,€€,Bastille 
Paris, Le Relais de l’Entrecôte,4.1,(517 reviews),Viandes,€€€,Saint-Germain-Des-Prés 
Paris, Le Chouchou,3.9,(57 reviews),Cuisine du mondeVégétarienOriental,€€,Beaubourg 
Paris, Dong Phat,4.5,(93 reviews),Vietnamien,€€,7ème 
Paris, Le Bon Pêcheur,3.9,(16 reviews),FrançaisBars,€€€,Châtelet/Les Halles 
Paris, Chez le Libanais,4.6,(194 reviews),Libanais,€,Saint-Michel/Odéon 
Paris, Au Pied de Cochon,3.3,(385 reviews),Fruits de merBrasseries,€€€,Châtelet/Les Halles 
Paris, Ober Mamma,4.4,(307 reviews),PizzaItalienBars à Cocktails,€€,Oberkampf/Parmentier 
Paris, Canard Street,4.4,(13 reviews),Cuisine du sud-ouestÉpiceries fines,€€,2ème 
Paris, Zébulon,4.3,(26 reviews),BistrotCuisine européenne moderneFrançais,€€€,Palais Royal/Musée du Louvre 
Paris, Chez Mademoiselle,4.5,(116 reviews),Français,€€€,4ème 
Paris, Le Petit Marché,4.3,(108 reviews),Français,€€€,Marais 
